id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
1497,青年汇佳园,朝阳,545,75527元/平米,2室1厅1厨1卫,高楼层 (共20层),72.16㎡,平层,56.71㎡,塔楼,东南,钢混结构,精装,两梯十二户,自供暖,有,70年,2019-09-29,商品房,2006-09-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1498,七星园,石景山,360,56136元/平米,2室1厅1厨1卫,高楼层 (共6层),64.13㎡,平层,45.46㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,2019-10-05,商品房,2005-09-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1499,裕龙四区,顺义,380,39196元/平米,3室1厅1厨1卫,高楼层 (共6层),96.95㎡,平层,78.48㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019-08-24,商品房,2005-05-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1500,长阳半岛怡和路1号院,房山,345,42089元/平米,2室1厅1厨1卫,底层 (共18层),81.97㎡,平层,65.51㎡,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,70年,2019-07-13,商品房,2014-10-30,普通住宅,满五年,非共有,"
                                有抵押 70万元 建设银行 业主自还
                              ",已上传房本照片
1501,世茂维拉,房山,380,37951元/平米,3室1厅1厨1卫,顶层 (共12层),100.13㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,有,70年,2019-08-10,商品房,2016-09-06,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片
1502,枣园小区,大兴,275,38788元/平米,2室2厅1厨1卫,顶层 (共5层),70.9㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,2019-11-29,商品房,2005-06-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1503,王府花园合道府,昌平,1250,57783元/平米,3室2厅1厨3卫,底层 (共2层),216.33㎡,复式,暂无数据,暂无数据,南 北,混合结构,精装,一梯一户,暂无数据,有,未知,2019-04-14,商品房,1996-06-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1504,新华联锦园,通州,278,47392元/平米,1室1厅1厨1卫,低楼层 (共6层),58.66㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019-08-12,商品房,2014-04-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1505,金地朗悦润园,房山,530,42554元/平米,3室2厅1厨2卫,中楼层 (共7层),124.55㎡,平层,105.86㎡,暂无数据,南 北,钢混结构,其他,一梯两户,暂无数据,有,70年,2019-11-16,商品房,2017-09-14,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
1506,翠谷玉景,石景山,733,51737元/平米,3室2厅1厨2卫,顶层 (共6层),141.68㎡,复式,125.48㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,70年,2018-05-06,商品房,2010-05-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1507,太阳园,海淀,1450,104641元/平米,3室1厅1厨2卫,中楼层 (共22层),138.57㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯七户,集中供暖,有,70年,2019-07-13,商品房,2002-03-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1508,新景家园东区,东城,946,104220元/平米,3室1厅1厨1卫,高楼层 (共17层),90.77㎡,平层,74.03㎡,板塔结合,东 西,钢混结构,精装,两梯四户,自供暖,有,70年,2019-08-20,二类经济适用房,2014-12-11,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
1509,观音寺南里,大兴,208,30793元/平米,1室1厅1厨1卫,顶层 (共6层),67.55㎡,平层,60.82㎡,板楼,东 西,混合结构,精装,一梯两户,自供暖,无,70年,2019-10-25,商品房,2009-06-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1510,华龙苑南里,昌平,375,42818元/平米,3室1厅1厨1卫,顶层 (共6层),87.58㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,2019-09-08,商品房,2010-09-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1511,燕化星城建德一里,房山,220,24637元/平米,3室1厅1厨1卫,中楼层 (共6层),89.3㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2018-11-25,已购公房,2000-09-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1512,联港嘉园A区,大兴,260,28657元/平米,2室1厅1厨1卫,低楼层 (共15层),90.73㎡,平层,暂无数据,板楼,西南,钢混结构,简装,一梯四户,集中供暖,有,70年,2019-05-30,限价商品房,2014-05-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1513,原香小镇二区,房山,350,38872元/平米,3室1厅1厨1卫,中楼层 (共6层),90.04㎡,平层,75.03㎡,板楼,南 北,钢混结构,其他,一梯两户,自供暖,有,70年,2019-08-18,商品房,2012-08-12,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
1514,雍景天成,石景山,1098,52026元/平米,4室4厅1厨4卫,高楼层 (共6层),211.05㎡,复式,182.22㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,2019-09-07,商品房,2008-03-20,普通住宅,满五年,非共有,"
                                有抵押 250万元 交通银行 业主自还
                              ",已上传房本照片
1515,农垦学院家属楼,昌平,408,51922元/平米,3室1厅1厨1卫,中楼层 (共6层),78.58㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,2019-11-26,商品房,2015-03-27,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
1516,国际花园,房山,357,40458元/平米,3室1厅1厨1卫,中楼层 (共18层),88.24㎡,平层,67.96㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,2019-05-03,商品房,2016-03-04,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
1517,金桥国际,东城,499,89846元/平米,1室1厅1厨1卫,中楼层 (共19层),55.54㎡,平层,暂无数据,塔楼,西北,钢混结构,精装,两梯十六户,集中供暖,有,70年,2019-11-07,商品房,2015-09-29,普通住宅,满两年,共有,"
                                有抵押 110万元 公积金中心 客户偿还
                              ",已上传房本照片
1518,花涧溪,通州,360,44472元/平米,2室1厅1厨1卫,低楼层 (共12层),80.95㎡,平层,61.1㎡,板塔结合,南 北,钢混结构,简装,一梯三户,集中供暖,有,70年,2018-06-05,商品房,2011-12-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1519,蜜码空间,平谷,115,16157元/平米,4房间1卫,低楼层 (共13层),71.18㎡,平层,52.55㎡,塔楼,西,钢混结构,其他,一梯十一户,集中供暖,暂无数据,50年,未知,商电,2.63元/m3,2019-08-22,商品房,2019-04-01,商业办公类,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片
1520,古城北路,石景山,378,49607元/平米,2室1厅1厨1卫,低楼层 (共6层),76.2㎡,平层,70.48㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019-12-02,商品房,2019-11-29,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
1521,首开国风美仑,通州,245,31463元/平米,2室1厅1厨1卫,低楼层 (共16层),77.87㎡,平层,62.28㎡,板楼,南,钢混结构,简装,两梯三户,集中供暖,有,70年,2019-10-07,商品房,2015-12-01,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
1522,金隅万科城二期,昌平,448,49492元/平米,3室1厅1厨1卫,中楼层 (共15层),90.52㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,2019-06-24,商品房,2013-01-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1523,北店嘉园,昌平,550,50174元/平米,3室1厅1厨2卫,低楼层 (共6层),109.62㎡,平层,99.51㎡,板楼,南 北,钢混结构,简装,一梯两户,自供暖,无,70年,2019-04-28,二类经济适用房,2007-12-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1524,京汉旭城,石景山,328,62240元/平米,1室1厅1厨1卫,中楼层 (共13层),52.7㎡,平层,43.94㎡,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,有,70年,2019-12-04,商品房,2006-10-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1525,幸福西区,顺义,355,41160元/平米,2室1厅1厨1卫,顶层 (共24层),86.25㎡,平层,暂无数据,塔楼,西南,混合结构,精装,三梯八户,集中供暖,有,70年,2019-12-07,商品房,2015-12-02,普通住宅,满两年,共有,"
                                有抵押 30万元 建设银行
                              ",已上传房本照片
1526,政馨园一区,丰台,339,44245元/平米,1室1厅1厨1卫,中楼层 (共15层),76.62㎡,平层,62.88㎡,板塔结合,西,钢混结构,简装,两梯四户,自供暖,有,70年,2019-11-03,商品房,2011-06-23,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
1527,安德里北街25号院,东城,630,103228元/平米,2室1厅1厨1卫,低楼层 (共17层),61.03㎡,平层,暂无数据,塔楼,西北,钢混结构,其他,两梯七户,集中供暖,有,70年,2018-06-22,已购公房,2007-11-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1528,光大名筑,朝阳,880,83922元/平米,2室1厅1厨2卫,中楼层 (共11层),104.86㎡,平层,86.78㎡,板楼,南,钢混结构,精装,一梯三户,集中供暖,有,70年,2019-04-19,商品房,2005-03-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1529,珠光逸景二期,丰台,335,36410元/平米,3室1厅1厨1卫,中楼层 (共5层),92.01㎡,平层,81.61㎡,暂无数据,西南,钢混结构,其他,一梯四户,暂无数据,有,70年,2018-07-06,商品房,2016-05-30,普通住宅,满两年,非共有,"
                                有抵押 120万元 银行 客户偿还
                              ",已上传房本照片
1530,远洋万和城B区,朝阳,950,105980元/平米,2室1厅1厨1卫,高楼层 (共18层),89.64㎡,平层,72.93㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,2019-05-05,商品房,2015-05-22,普通住宅,满两年,非共有,"
                                有抵押 180万元 买房时的按揭贷款 客户偿还
                              ",已上传房本照片
1531,蔚园,丰台,269,45044元/平米,2室1厅1厨1卫,中楼层 (共6层),59.72㎡,暂无数据,暂无数据,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,70年,2019-12-02,已购公房,2017-12-27,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
1532,西潞园二里,房山,189.5,30161元/平米,2室2厅1厨1卫,顶层 (共6层),62.83㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,2019-10-30,商品房,2003-02-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1533,龙跃苑二区,昌平,529,38929元/平米,3室1厅1厨2卫,底层 (共6层),135.89㎡,平层,124.22㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,2019-11-11,一类经济适用房,2004-05-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1534,金地仰山西区,大兴,830,59610元/平米,4室2厅1厨2卫,低楼层 (共16层),139.24㎡,平层,108.17㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,2018-11-28,商品房,2014-12-23,普通住宅,满两年,非共有,"
                                有抵押 160万元
                              ",已上传房本照片
1535,天慧园,昌平,443,50416元/平米,2室1厅1厨1卫,中楼层 (共7层),87.87㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,2019-12-03,商品房,2002-08-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1536,远洋山水,石景山,429,63622元/平米,2室1厅1厨1卫,低楼层 (共26层),67.43㎡,平层,51.81㎡,板塔结合,西,钢混结构,精装,三梯十二户,集中供暖,有,70年,2019-06-23,商品房,2010-02-09,普通住宅,满五年,非共有,"
                                有抵押 30万元 业主自还
                              ",已上传房本照片
1537,怡海花园富润园,丰台,820,53687元/平米,3室2厅1厨2卫,中楼层 (共30层),152.74㎡,平层,127.54㎡,塔楼,西南 北,钢混结构,精装,三梯十户,集中供暖,有,70年,2018-05-06,商品房,2006-04-28,普通住宅,满五年,非共有,"
                                有抵押 150万元 客户偿还
                              ",已上传房本照片
1538,果园233号院,通州,350,36214元/平米,2室2厅1厨1卫,顶层 (共6层),96.65㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019-07-22,商品房,2015-09-17,普通住宅,满两年,非共有,"
                                有抵押 100万元 北京银行 客户偿还
                              ",已上传房本照片
1539,滨河小区,顺义,239,34404元/平米,2室1厅1厨1卫,中楼层 (共6层),69.47㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,2019-10-18,私产,2018-08-07,普通住宅,未满两年,非共有,"
                                有抵押 120万元 中国建设银行顺义支行 客户偿还
                              ",已上传房本照片
1540,滨河东里,大兴,235,40665元/平米,2室1厅1厨1卫,中楼层 (共6层),57.79㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019-12-04,商品房,2013-05-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1541,馨港庄园三区,顺义,310,29202元/平米,2室2厅1厨1卫,低楼层 (共6层),106.16㎡,平层,95.17㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,2018-07-31,商品房,2004-11-20,普通住宅,满五年,非共有,"
                                有抵押 200万元 在我爱我家的金融抵押小200万
                              ",已上传房本照片
1542,华龙苑中里,昌平,295,52679元/平米,2室1厅1厨2卫,中楼层 (共6层),56㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019-01-04,商品房,2005-12-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1543,城市亮点,东城,540,82067元/平米,1室1厅1厨1卫,中楼层 (共12层),65.8㎡,平层,暂无数据,板塔结合,西北,钢混结构,简装,三梯十七户,集中供暖,有,70年,2019-05-25,商品房,2006-05-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1544,兴海家园星苑,大兴,358,43123元/平米,2室1厅1厨1卫,底层 (共5层),83.02㎡,平层,71.85㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,2019-11-25,商品房,2011-03-25,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片
1545,新桥家园,门头沟,360,32868元/平米,2室1厅1厨1卫,低楼层 (共24层),109.53㎡,平层,87.51㎡,塔楼,西,钢混结构,简装,三梯十户,集中供暖,有,70年,2017-06-10,商品房,2011-11-01,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
1546,国惠村,昌平,280,34714元/平米,2室1厅1厨1卫,底层 (共10层),80.66㎡,平层,64.43㎡,暂无数据,南 北,未知结构,其他,一梯三户,暂无数据,暂无数据,70年,2019-11-27,限价商品房,2014-11-19,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
1547,石景山路23号院,石景山,225,57282元/平米,1室1厅1厨1卫,顶层 (共5层),39.28㎡,平层,26.79㎡,板楼,南,混合结构,其他,一梯三户,集中供暖,无,70年,2019-11-15,央产房,1993-11-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1548,名佳花园一区,昌平,299,36491元/平米,2室2厅1厨1卫,低楼层 (共7层),81.94㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,2019-11-11,商品房,2013-09-27,普通住宅,满五年,非共有,"
                                有抵押 70万元
                              ",已上传房本照片
1549,车公庄中里,西城,670,117958元/平米,3室0厅1厨1卫,中楼层 (共6层),56.8㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,未知,2019-10-06,央产房,2007-01-22,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
1550,观澳园,海淀,1050,70160元/平米,3室1厅1厨2卫,高楼层 (共10层),149.66㎡,平层,128.45㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,2018-04-12,商品房,2018-04-12,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片
1551,武夷花园牡丹园,通州,530,45095元/平米,3室2厅1厨2卫,中楼层 (共7层),117.53㎡,平层,106.57㎡,板楼,南 北,混合结构,精装,一梯四户,集中供暖,无,70年,2019-11-16,商品房,2013-03-18,普通住宅,满五年,非共有,"
                                有抵押 50万元 工商银行 业主自还
                              ",已上传房本照片
1552,美景东方,朝阳,521,68328元/平米,2室1厅1厨1卫,高楼层 (共22层),76.25㎡,平层,59.58㎡,塔楼,西,钢混结构,简装,两梯十户,集中供暖,有,70年,2019-06-24,商品房,2004-12-13,普通住宅,满五年,非共有,"
                                有抵押 30万元 中国银行 业主自还
                              ",已上传房本照片
1553,模式口北里,石景山,370,36303元/平米,2室1厅1厨1卫,顶层 (共3层),101.92㎡,平层,69.54㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,2019-03-21,已购公房,2013-01-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1554,果园233号院,通州,239,39794元/平米,2室1厅1厨1卫,高楼层 (共6层),60.06㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,2019-11-11,商品房,2010-01-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1555,太平家园,昌平,369,40333元/平米,2室2厅1厨1卫,高楼层 (共6层),91.49㎡,平层,82.99㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,2019-09-20,商品房,2005-11-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1556,北街家园六区,昌平,312,44680元/平米,2室1厅1厨1卫,高楼层 (共18层),69.83㎡,平层,50.99㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,2019-11-21,商品房,2013-05-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1557,阳光丽景,西城,1080,159551元/平米,1室1厅1厨1卫,高楼层 (共19层),67.69㎡,平层,55.93㎡,塔楼,北,钢混结构,简装,两梯八户,集中供暖,有,70年,2019-03-26,私产,2007-04-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1558,金地仰山西区,大兴,760,53040元/平米,4室2厅1厨2卫,底层 (共18层),143.29㎡,复式,115.1㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,2019-03-31,商品房,2013-08-09,普通住宅,满五年,非共有,"
                                有抵押 120万元 中国银行 客户偿还
                              ",已上传房本照片
1559,向东楼小区,门头沟,240,41019元/平米,2室1厅1厨1卫,中楼层 (共6层),58.51㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,2018-12-01,商品房,2016-10-08,普通住宅,满两年,非共有,"
                                有抵押 80万元 建行 客户偿还
                              ",已上传房本照片
1560,芙蓉里,海淀,570,91493元/平米,2室1厅1厨1卫,低楼层 (共6层),62.3㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019-07-23,央产房,1993-07-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1561,华业东方玫瑰D区,通州,499,49995元/平米,3室2厅1厨1卫,中楼层 (共24层),99.81㎡,平层,69.87㎡,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,2019-07-03,商品房,2016-11-18,普通住宅,满两年,非共有,"
                                有抵押 310万元
                              ",已上传房本照片
1562,石园西区,顺义,285,33990元/平米,3室1厅1厨1卫,顶层 (共6层),83.85㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019-11-24,商品房,1998-08-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1563,西马金润二区,丰台,428,45105元/平米,3室1厅1厨1卫,中楼层 (共13层),94.89㎡,平层,暂无数据,板塔结合,东 西,钢混结构,简装,四梯两户,集中供暖,有,70年,2019-11-13,商品房,2007-04-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1564,远洋山水,石景山,920,64134元/平米,3室1厅1厨2卫,顶层 (共27层),143.45㎡,平层,111.93㎡,板楼,南 北,钢混结构,其他,两梯三户,集中供暖,有,70年,2019-11-15,商品房,2016-09-30,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片
1565,周井大院,朝阳,245,51962元/平米,2室1厅1厨1卫,底层 (共5层),47.15㎡,平层,35.37㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,2019-11-14,央产房,2001-10-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1566,首邑溪谷,大兴,290,60607元/平米,2室1厅1厨2卫,中楼层 (共16层),47.85㎡,复式,34.07㎡,板塔结合,东 西,钢混结构,简装,一梯五户,集中供暖,有,70年,2019-09-09,商品房,2016-10-27,普通住宅,满两年,非共有,"
                                有抵押 211万元 哈尔滨银行 客户偿还
                              ",已上传房本照片
1567,建鑫园三里,房山,279,33819元/平米,2室2厅1厨1卫,高楼层 (共6层),82.5㎡,平层,72.02㎡,板楼,南 北,混合结构,简装,一梯两户,暂无数据,无,70年,2019-11-14,商品房,2016-09-28,普通住宅,满两年,非共有,"
                                有抵押 100万元 中国建设银行房山支行 业主自还
                              ",已上传房本照片
1568,新桥南大街,门头沟,198,29434元/平米,2室1厅1厨1卫,顶层 (共5层),67.27㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,2019-12-02,商品房,2011-01-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1569,时代芳群,丰台,1120,69009元/平米,3室2厅1厨2卫,高楼层 (共30层),162.3㎡,平层,131.77㎡,塔楼,南,钢混结构,简装,两梯四户,自供暖,有,70年,2019-04-25,商品房,2005-06-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1570,西马庄园,通州,285,35194元/平米,2室1厅1厨1卫,中楼层 (共6层),80.98㎡,平层,暂无数据,板楼,南 西 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019-05-04,已购公房,2005-04-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1571,卢沟桥南里,丰台,350,40869元/平米,2室1厅1厨1卫,顶层 (共6层),85.64㎡,平层,76.02㎡,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,2018-10-17,商品房,2013-06-06,普通住宅,满五年,共有,"
                                有抵押 100万元 公积金 业主自还
                              ",已上传房本照片
1572,金顶街五区,石景山,590,43498元/平米,3室1厅1厨1卫,低楼层 (共24层),135.64㎡,平层,106.21㎡,塔楼,南 北,钢混结构,其他,三梯八户,集中供暖,有,70年,2019-07-25,二类经济适用房,2010-08-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1573,新龙城,昌平,628,53800元/平米,3室1厅1厨2卫,高楼层 (共15层),116.73㎡,平层,90.22㎡,板楼,北 南,钢混结构,精装,一梯两户,自供暖,有,70年,2019-11-10,商品房,2008-08-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1574,古城南路,石景山,225,50000元/平米,2室1厅1厨1卫,底层 (共5层),45㎡,平层,31.27㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,2019-09-29,商品房,2017-04-21,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
1575,永康胡同1号院,东城,620,126738元/平米,1室1厅1厨1卫,底层 (共7层),48.92㎡,平层,暂无数据,板楼,西,混合结构,简装,一梯四户,集中供暖,无,70年,2019-08-29,已购公房,2017-02-06,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
1576,西便门东里,西城,640,109271元/平米,2室1厅1厨1卫,中楼层 (共6层),58.57㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,2019-11-02,已购公房,2008-04-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1577,东革新里40号院,东城,375,62994元/平米,2室1厅1厨1卫,顶层 (共6层),59.53㎡,平层,暂无数据,板楼,南 北,混合结构,毛坯,一梯两户,集中供暖,无,70年,2019-06-06,已购公房,2000-04-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1578,黑山东街,门头沟,250,33157元/平米,2室1厅1厨1卫,中楼层 (共7层),75.4㎡,平层,53.65㎡,板楼,东 南 西,混合结构,精装,一梯三户,集中供暖,无,70年,2018-08-28,已购公房,2010-12-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1579,西环景苑,西城,835,77538元/平米,3室2厅1厨1卫,低楼层 (共19层),107.69㎡,平层,88.03㎡,塔楼,南 北,钢混结构,精装,两梯八户,自供暖,有,70年,2019-03-30,私产,2007-09-15,普通住宅,满五年,非共有,"
                                有抵押 350万元 客户偿还
                              ",已上传房本照片
1580,北潞华家园,房山,290,21395元/平米,2室2厅1厨2卫,顶层 (共6层),135.55㎡,平层,暂无数据,暂无数据,南 北,混合结构,其他,一梯两户,暂无数据,无,70年,2019-12-04,一类经济适用房,2011-01-06,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片
1581,航空胡同11号院,西城,555,133414元/平米,1室1厅1厨1卫,底层 (共6层),41.6㎡,平层,27.77㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,2019-06-14,商品房,1999-09-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1582,龙泽苑东区,昌平,280,65436元/平米,1室0厅1厨1卫,中楼层 (共9层),42.79㎡,暂无数据,38.37㎡,板楼,南,钢混结构,简装,一梯三户,集中供暖,有,70年,2018-12-01,商品房,2005-10-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1583,人济山庄,海淀,1340,84336元/平米,3室1厅1厨3卫,低楼层 (共26层),158.89㎡,平层,133.9㎡,塔楼,东南,钢混结构,简装,三梯八户,集中供暖,有,70年,2019-06-19,商品房,2003-11-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1584,丰台东路16号院,丰台,210,43069元/平米,1室1厅1厨1卫,低楼层 (共6层),48.76㎡,平层,35.44㎡,板楼,南 北,混合结构,精装,一梯十一户,集中供暖,无,70年,2019-09-03,已购公房,2018-05-04,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
1585,富力桃园A区,海淀,608,66521元/平米,2室1厅1厨2卫,低楼层 (共11层),91.4㎡,平层,70.84㎡,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,有,70年,2019-10-19,商品房,2015-04-29,普通住宅,满两年,非共有,"
                                有抵押 120万元 工行 业主自还
                              ",已上传房本照片
1586,军庄杨坨小区,门头沟,160,28209元/平米,3室0厅1厨1卫,底层 (共6层),56.72㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,2019-11-23,已购公房,1995-09-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
1587,龙兴园中区,昌平,400,46099元/平米,2室1厅1厨1卫,顶层 (共6层),86.77㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,自供暖,无,70年,2019-09-03,私产,2004-06-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
